RestaurantID,Cuisine
CAGAWbPE8uPr2VVvEnv0ZA,italian
nM2AdRp2iSJHi4MgvIrEBg,italian
74zaTegd7fnS6llTesn_Dg,italian
jo30o65XFWmgMJS86zFiFQ,italian
L5MrjGhBqQkwlguY0ilxqA,italian
tsvElYYtUBAEdfK6plnxlg,italian
x6_1vzeCH9YvbvIBmSr2iA,italian
ZfyfGGtr7usMlsQP1LdU2g,italian
kDJbzzmCEjFbyDQ-lSygvw,italian
aHRcUI_UqFNV87GF7WRIDQ,italian
3o0W7asUgP7EEKn8iFWFyA,italian
2Nwmd7-1d1rI6lb9QSSYYA,italian
r_fUOUhz-pHZxFDV1hzy0w,italian
zj8Lq1T8KIC5zwFief15jg,italian
-FJ0bOC7okZbKvza8ZPzpw,italian
bmcIFCtXLzkQIgLmDVXs3A,italian
-7iUpGTNDdy4WjxLGYp-_g,italian
ntQ7O1YPMIOrQkynhXRBVg,italian
MeQU-nGaQvX12VXYOyzavQ,italian
HY9Ij1zQGS5R3xU1OlFENA,italian
HD0e3eHwv573qHZOJJitWg,italian
pGr5QuQU7Ur5GHLvXbT8bw,italian
DF7PV0DE9z0LM4ae6XYeYg,italian
oUVX94JtKyLPXozC2hemCg,italian
LtBk9m1C-05nFNwD1OxcBw,italian
rJJiGJx3kfMAxtD7P7okHQ,italian
-8_vEcBA2Lqd8786S-Ss-g,italian
nTt5cLJVcmBdM640izladw,italian
X8Hl9OezX-Yr9Jir3fsF7g,italian
ADHX7nBixDPVlq3OXhny0g,italian
562aZEpTDdYKDe5hWuDyFA,italian
lQ87D3INFtCoGAuo715_jw,italian
-tQ9Zlb5d9PPlDz_6UgV7w,italian
d15lwNLOlLSeaAYqPadntw,italian
iutTifH0Xy0UkN86vEvV2Q,italian
MOwB9YYd-Ko6nVgSB-ltQw,italian
VtJd1l64kqUUyWacwK0J2Q,italian
o5mMVFk4Hcpk2FuKfgTgdg,italian
fU22eRTnKLT2C-OFJ6eUGQ,italian
MT_a_Tg3ENdxqZFQyJocgQ,italian
vVVmHacu2YAxKfpIjhfd1g,italian
VF3wSCRC3mE6JpBQPQXELA,italian
eAvP3Q0NCpJs9U0X1pEf-A,italian
MTQpqHo-cCAPK7c9fd6zHw,italian
6AWiJUeP4FINQF48az-bkQ,italian
eODPY5rejL6CYvN4DEqwrg,italian
R3gSQGB3aEmVpwbKIgOPqg,italian
4aF0F8w7yXX9o5_QFky_ig,italian
PgTgzq8oKcP2r00YUWL03A,italian
rtivWWzG0XjUuhSrwusTgQ,italian
fPW_GBZsnBNsIzK62sCHBg,chinese
mOP2_wjgUMqELKDL1Y-U-A,chinese
NmJ2xtfZrscfWB_a5wEbXQ,chinese
b7uTP_afs5Gkf66K7yDl-w,chinese
lSrdxUNxyMgh5YU903JUiw,chinese
qFmyAqm0MQbdu_MHX1mhpQ,chinese
McU7XI3HoWFELTDaGc1SEw,chinese
AA54rKcNIMglGhofj0huvg,chinese
3cjw6qOQe5Qf_l_SciOfcQ,chinese
4--r7DCu5l9UEIjs4OwKSQ,chinese
l_gQf_4NgPMJcx2OkjsMfg,chinese
7ZQSMqWzvXMSetXnii2fBg,chinese
WEa266y5CsANNqvyfG7elA,chinese
OfqANzeWRlZrdHQuG7pI0w,chinese
IdHZfmpp8MmQ4_KZL2qXbg,chinese
C3tP0fNNAoxOAC3O406CXQ,chinese
HScFap2SwbUlfC-QXVkxFA,chinese
S5VN-lFmTdI5VVQ0qFyfCQ,chinese
pb_cHcy8D8UC-jQ-Q524ug,chinese
6LfskUyZzmcDSV6h5kOwGw,chinese
