,RestaurantID,Name,Cuisine,Rating,Number of Reviews,Address,Zip Code,Latitude,Longitude,isClosed,insertedAtTimestamp
5074,RAejT6MPqqpprhgiCDdyJA,The Grayson,american,3.5,234,16 1st Ave,10009.0,40.72338,-73.98796999999999,False,03/03/2020 18:11:37
1573,mPOa5FLgjWrK3k6yxBGQnw,The Clam,american,4.0,356,420 Hudson St,10014.0,40.73030766120021,-74.00680303576391,False,03/03/2020 18:00:58
1572,y800EdmdRpesUgQYN4VXNw,Caffe Reggio,american,3.5,599,119 MacDougal St,10012.0,40.730228100000005,-74.0004194,False,03/03/2020 18:00:58
1571,8qBy2-x0i9P7eigcwIGuQA,Latham House,american,4.0,382,299 Marin Blvd,7302.0,40.7186723130924,-74.0419214298909,False,03/03/2020 18:00:58
1570,S4Euw4DYSqeU4KcteFXqHg,Little Beet Table,american,4.0,537,333 Park Ave S,10010.0,40.74116,-73.98545,False,03/03/2020 18:00:58
1569,xQ445GaWVN5Aa3sFX9OoIg,Buvette,american,4.0,1718,42 Grove St,10014.0,40.732704,-74.004317,False,03/03/2020 18:00:58
1568,_hvgCRW8Vw1n3Usr9RPoUg,Cellar 335,american,4.5,509,335 Newark Ave,7302.0,40.724969200000004,-74.0515195,False,03/03/2020 18:00:58
1567,cGvQz6bv9JeRRJw7zJ1Www,The Cheesecake Factory,american,3.0,463,30 Mall Dr W,7310.0,40.726928610368496,-74.0371624801483,False,03/03/2020 18:00:58
1566,bpjDo7svAFD10eszaOPQHw,Clinton Hall,american,4.0,185,16 W 36th St,10018.0,40.75009,-73.98470999999999,False,03/03/2020 18:00:58
1565,EDOUZDqwvD4UzOy0doER0g,Jungle Bird,american,4.0,68,174 8th Ave,10011.0,40.74262,-74.00021,False,03/03/2020 18:00:58
1564,wZkZmjZEJDraLJgAalnHvA,Pisticci,american,4.0,843,125 La Salle St,10027.0,40.8141624,-73.960288,False,03/03/2020 18:00:58
1563,1iy3W3yX6BGYF2387OPXQg,Ivy Lane,american,4.5,57,116 E 60th St,10022.0,40.763027,-73.968715,False,03/03/2020 18:00:58
1562,DodCeSN_hkXCJDoJ0uVxKg,Nix,american,4.0,549,72 University Pl,10003.0,40.73323,-73.99359,False,03/03/2020 18:00:58
1561,gaxx8auiAGlKW3FTF0N-ww,Bubby's High Line,american,3.5,775,73 Gansevoort St,10014.0,40.739521,-74.007788,False,03/03/2020 18:00:57
1560,jf3JRaxUYU93x8LFU-8gkA,GupShup,american,4.0,277,115 E18th St,10003.0,40.7368323318866,-73.9877132715179,False,03/03/2020 18:00:57
1559,rU9cKxAVU4Gd_JhAqp_bTA,Buttermilk Channel,american,4.0,1880,524 Court St,11231.0,40.675919,-73.999059,False,03/03/2020 18:00:57
1558,mHBhUxHgDGjsB1LJl4qW0w,Hillstone Restaurant,american,4.0,1088,888 3rd Ave,10022.0,40.758352,-73.969112,False,03/03/2020 18:00:57
1557,x_u7DTvA4ypDBrPvVNx1CQ,"Whispers Restaurant, Bar & Lounge",american,4.5,77,210 W 94th St,10025.0,40.793301345645204,-73.9722406754357,False,03/03/2020 18:00:57
1556,IOHaEgK1zDvUvB3SfKuGCw,Parker & Quinn,american,4.0,1353,64 W 39th St,10018.0,40.752586217581296,-73.9850713153442,False,03/03/2020 18:00:57
1555,NT2mKx3_kxO9tpjeP2Sv6Q,The Malt House,american,4.0,416,206 Thompson St,10012.0,40.728646999999995,-73.999383,False,03/03/2020 18:00:57
1554,rCpO-kMHljieU0geK0RJQw,Noreetuh,american,4.0,430,128 1st Ave,10009.0,40.727275,-73.985221,False,03/03/2020 18:00:57
1553,j1ICCFH6F0ka83Ih2gMS1Q,Shake Shack,american,4.0,57,1 W 125th St,10027.0,40.8065087757649,-73.9423099200485,False,03/03/2020 18:00:57
1574,0BzxIsoRuFvxbMPl-iH70A,Market Table,american,4.0,788,54 Carmine St,10014.0,40.729765925587294,-74.00376652778621,False,03/03/2020 18:00:58
1552,WDCA17TmVOAMWgMLHc2E6Q,Bo's Kitchen & Bar Room,american,4.0,347,6 W 24th St,10010.0,40.7426259948421,-73.9902863558197,False,03/03/2020 18:00:57
1575,HrdIdeDZBTUdyEdSTPG1zg,Jack's Wife Freda,american,4.0,844,50 Carmine St,10014.0,40.729826,-74.003516,False,03/03/2020 18:00:58
1577,-b3J-5K_beWyGxQ1Id7KQg,Jeepney,american,4.0,1115,201 1st Ave,10003.0,40.730294,-73.9835395,False,03/03/2020 18:00:58
1598,6gDUVNZo0E9lxO2DkAhHOQ,The Greek,american,4.5,483,458 Greenwich St,10013.0,40.7237145,-74.0096166,False,03/03/2020 18:00:59
1597,pov0n15Vf6R-tPWWLq8uUQ,Red Paper Clip,american,4.5,45,120 Christopher St,10014.0,40.733109999999996,-74.0056,False,03/03/2020 18:00:59
1596,0EtZ1xhnXWp4-ysNVwItYA,Distilled,american,4.0,774,211 W Broadway,10013.0,40.7189994,-74.0062975,False,03/03/2020 18:00:58
1595,pBIvJHn65iqlUh1L2tN-qg,TAO Downtown,american,3.5,1417,92 9th Ave,10011.0,40.7426141,-74.0042051,False,03/03/2020 18:00:58
1594,veku2cg2qaV-7MxwhOMBmg,Judge Roy Bean Public House,american,4.5,745,38 W 56th St,10019.0,40.7629158108786,-73.9761248066812,False,03/03/2020 18:00:58
1593,3cC6UcOj_-FMXRBYlsXFzA,Two Hands,american,3.5,318,251 Church St,10013.0,40.71782,-74.00546999999999,False,03/03/2020 18:00:58
1592,pk89jzL1RsE9U0thf_z6tw,Locanda Verde,american,4.0,1621,377 Greenwich St,10013.0,40.71986013008011,-74.010039072422,False,03/03/2020 18:00:58
1591,0roFOyJMaFvSD8Ceh89YRw,Home Base Bistro,american,4.5,46,416 3rd Ave,10016.0,40.7431,-73.98031999999999,False,03/03/2020 18:00:58
1590,SNtbNK_YRe4mLzFkJggdlg,Pier 115 Bar and Grill,american,3.5,887,115 River Rd,7020.0,40.8036480663749,-73.9877714216709,False,03/03/2020 18:00:58
1589,-6tSx9IXwt1btreBtcyZ0g,Würstbar,american,4.5,319,516 Jersey Ave,7302.0,40.72038,-74.04648,False,03/03/2020 18:00:58
1588,twHJyFgUSd7wzioKQjE7Jw,Galli,american,4.0,927,45 Mercer St,10013.0,40.72161,-74.00126999999999,False,03/03/2020 18:00:58
1587,GPwZw6csdXg2dpw38sqxqw,8th Hill,american,4.0,43,359 Columbus Ave,10024.0,40.78043529999999,-73.9764397,False,03/03/2020 18:00:58
1586,DIqsYe-HJS8etyDyXNovBg,Seamores,american,4.0,710,390 Broome St,10013.0,40.72074,-73.99696,False,03/03/2020 18:00:58
1585,hmdm-dO72hLsMQwQRcGEUQ,Atrium Dumbo,american,3.5,665,15 Main St,11201.0,40.7033899,-73.9904923,False,03/03/2020 18:00:58
1584,vFsjObMTImsnM_DzVo4N3g,Bocca Cucina and Bar,american,3.5,366,39 E 19th St,10003.0,40.73826,-73.98886,False,03/03/2020 18:00:58
1583,dpDbAqjIVWUOb1W-XBMKJw,ARDYN,american,4.5,83,33 W 8th St,10011.0,40.733059999999995,-73.99801,False,03/03/2020 18:00:58
1582,Cnqy9w1BFXZFEaChfox0ow,Rosemary's,american,3.5,955,18 Greenwich Ave,10011.0,40.7347241,-73.9997973,False,03/03/2020 18:00:58
1581,boRM4i0UQswxQIp6CA9y_A,La Esquina - SoHo,american,3.5,2029,114 Kenmare St,10012.0,40.721371999999995,-73.997529,False,03/03/2020 18:00:58
1580,DDb_WRz8jPPHrTt5Fiu0og,The Hive,american,4.0,212,119 Kent Ave,11249.0,40.7201725641173,-73.96171351051491,False,03/03/2020 18:00:58
1579,np98mkA22LYf6kCwCL59pw,Rabbithole Restaurant,american,4.0,827,352 Bedford Ave,11211.0,40.7122932799856,-73.9628687873483,False,03/03/2020 18:00:58
1578,d7Asc4q2ImoPlA_BhfroTQ,Kesté Pizza & Vino,american,4.0,1404,271 Bleecker St,10014.0,40.73154,-74.00293,False,03/03/2020 18:00:58
1576,ZD22cMZvSmfNsXS9vKizGA,Angel's Share,american,4.5,2109,8 Stuyvesant St,10003.0,40.72970975298821,-73.9891492245369,False,03/03/2020 18:00:58
1599,v8_MaF5d2u5qZ6evINBsig,Coarse NY,american,4.5,218,306 W 13th St,10014.0,40.739129999999996,-74.00363,False,03/03/2020 18:00:59
1551,6gzQLjzJk25ePm_JS7ZAug,Esme,american,4.5,337,999 Manhattan Ave,11222.0,40.7332033928175,-73.9549667724914,False,03/03/2020 18:00:57
2298,NcHnZbq06y9llCt6ayf_Jw,Sweet Chick,american,4.0,327,46-42 Vernon Blvd,11101.0,40.745779999999996,-73.95339,False,03/03/2020 18:02:23
2272,7B2XMvV5uGuKyl19-HTSvg,Fogo de Chao Brazilian Steakhouse,american,4.0,1193,40 W 53rd St,10019.0,40.7610765,-73.97777109999998,False,03/03/2020 18:02:19
2271,aJqjC4uAo6vhOpsVNCiMDA,Samba Kitchen,american,4.5,448,661 9th Ave,10036.0,40.76095,-73.99115,False,03/03/2020 18:02:19
2270,1wcPwByfVs7bh7W1dWWIIQ,The Usual,american,4.0,113,30 Kenmare St,10012.0,40.72056,-73.99526999999999,False,03/03/2020 18:02:19
2269,QVWmn5jmy_TPmg0G71Dk5g,Sea,american,3.5,3056,114 N 6th St,11211.0,40.718070000000004,-73.960044,False,03/03/2020 18:02:19
2268,2O5w-15_AVnnVJEtlWWE_A,Clinton Hall,american,4.0,165,601 E 189th St,10458.0,40.85735,-73.88574,False,03/03/2020 18:02:19
2267,7ft-V9E0vfkBhlpPeTm4nQ,Bareburger,american,3.5,22,795 Columbus Ave,10025.0,40.79443,-73.96616,False,03/03/2020 18:02:19
2266,OxqUWRZFUOz3r6_4bh4mfg,Cock & Bull,american,4.0,541,23 W 45th St,10036.0,40.756090882367296,-73.9804858350908,False,03/03/2020 18:02:19
2265,I6optu9x0JAf8oT5lqJ8qw,Blue Dog Cookhouse & Bar,american,4.0,1229,308 W 50th St,10019.0,40.762440000000005,-73.98674,False,03/03/2020 18:02:19
2264,ciHt5n5rmpby1YcC_6JVrg,Bronx Alehouse,american,4.0,754,216 W 238th St,10463.0,40.8847016520226,-73.8994980779851,False,03/03/2020 18:02:19
2263,qNVN0dsnl4akLNueEoY-Hw,Gem,american,4.0,29,116 Forsyth St,10002.0,40.719086700000005,-73.9923073,False,03/03/2020 18:02:19
2262,432F7ulSgnm1fNyefqgrNw,Strip House,american,4.0,535,15 W 44th St,10036.0,40.75529820928271,-73.98068987648001,False,03/03/2020 18:02:19
2261,GoHiAkblJb7mqFEiD8T62g,Dig Inn,american,4.0,323,2884 Broadway,10025.0,40.8055649,-73.96535490000001,False,03/03/2020 18:02:19
2260,3Gz07E5YJjDTJPSuzsAStQ,Ocean Prime,american,4.5,573,123 W 52nd St,10019.0,40.76173,-73.98063,False,03/03/2020 18:02:19
2259,nI1UYDCYUTt23TpGxqnLKg,Buddakan,american,4.0,3955,75 9th Ave,10011.0,40.7422762672197,-74.0048000961542,False,03/03/2020 18:02:19
2258,4rWJGwb3rjDoZHA0AECa5A,Melba's,american,4.0,1071,300 W 114th St,10026.0,40.803146883845294,-73.95650692284109,False,03/03/2020 18:02:19
2257,qM4DN_MM28Y94M_w0hEMlw,The Nugget Spot,american,3.5,506,230 E 14th St,10003.0,40.7324998427738,-73.98604874603271,False,03/03/2020 18:02:19
2256,h37t9rA06Sr4EetJjKrfzw,Don Angie,american,4.5,310,103 Greenwich Ave,10014.0,40.73778,-74.00197,False,03/03/2020 18:02:19
2255,PnGSE8JGbMZKtdHi9go7Kg,The Milling Room,american,4.0,469,446 Columbus Ave,10024.0,40.7835485472543,-73.9744088718635,False,03/03/2020 18:02:19
2254,Rj2ACaJcbroJLPDhRhzvBw,Shuka,american,4.0,454,38 MacDougal St,10012.0,40.72707,-74.00283,False,03/03/2020 18:02:19
2253,hUhv0iJSFPx2iehuQoakUw,The Restaurant,american,4.5,9,506 9th Ave,10018.0,40.756029999999996,-73.99398000000001,False,03/03/2020 18:02:19
2252,MyQV4i518ZO4CLudtR8gLA,The Bar Room,american,4.0,511,117 E 60th St,10022.0,40.763409,-73.96844899999999,False,03/03/2020 18:02:19
2273,P7yE1T1TDFIiYgLdEYR3Gw,Bill's Townhouse,american,4.5,112,57 E 54th St,10022.0,40.760261535644496,-73.9729461669922,False,03/03/2020 18:02:19
5051,fAQVVgDt88mW739YJgKQdQ,Charlie's Bar & Kitchen,american,4.0,329,112 Lincoln Ave,10454.0,40.807874991887005,-73.9291545436554,False,03/03/2020 18:11:34
2274,lUWZgj2YzVeX6kDV238ZaA,Chirping Chicken,american,3.0,28,219 W 145th St,10039.0,40.822318,-73.94019300000001,False,03/03/2020 18:02:19
2276,tsiC3VpO-hZEb98Qk3p-DQ,Amy Ruth's,american,4.0,2584,113 W 116th St,10026.0,40.802479999999996,-73.95038000000001,False,03/03/2020 18:02:19
2297,mWS4umRg2AyykyAClMrIRw,The Penrose,american,4.0,1171,1590 2nd Ave,10028.0,40.775427,-73.953115,False,03/03/2020 18:02:23
2296,MHtbBc2np3sR7jiV9GphNg,Tribeca's Kitchen,american,4.0,499,200 Church St,10013.0,40.7162705535921,-74.00722259279121,False,03/03/2020 18:02:23
2295,BfpofagzrVChgEtNcQwKFA,L'fonda,american,4.0,5,2023 Amsterdam Ave,10032.0,40.83487,-73.94035,False,03/03/2020 18:02:23
2294,SjG7CnTIuUBIo9T4BThkGQ,Employees Only,american,4.0,1452,510 Hudson St,10014.0,40.73343,-74.00617,False,03/03/2020 18:02:23
2293,6eVNHrnp67ZniJYLik1qig,Yara,american,4.5,111,319 E 53rd St,10022.0,40.75646,-73.9662,False,03/03/2020 18:02:23
2292,-b3J-5K_beWyGxQ1Id7KQg,Jeepney,american,4.0,1115,201 1st Ave,10003.0,40.730294,-73.9835395,False,03/03/2020 18:02:23
2291,SLD513aTy53UMk4wQP8Wcg,The Expat,american,4.0,57,64 Tiemann Pl,10027.0,40.815509999999996,-73.96008,False,03/03/2020 18:02:23
2290,03RL_VcRGXuICl2R6Luu_Q,The Waterfront NYC,american,4.5,13,500 Hutchinson River Pkwy,10465.0,40.8112556,-73.83528129999999,False,03/03/2020 18:02:23
2289,DW5SL9RM-kJnmRyYo4oEqg,Ruby's - Murray Hill,american,4.0,461,442 3rd Ave,10016.0,40.74364,-73.97985,False,03/03/2020 18:02:23
2288,S-WdvEU1X7J33whXWk1zmw,MUD,american,4.0,1166,307 E 9th St,10003.0,40.72905,-73.98668,False,03/03/2020 18:02:20
2287,t4hGjbQaZtBqDAEoqdCJoA,Richie's Burger Joint,american,4.0,76,2665 Broadway,10025.0,40.7982592975529,-73.9695739619898,False,03/03/2020 18:02:20
