RestaurantID,Name,Cuisine,Rating,NumberOfReviews,Address,ZipCode,Latitude,Longitude,IsClosed,InsertTime
a-XBTXQM4qigxUgpTmS7Fg,Codino,italian,3.5,72,62 Carmine St,10014,40.7300643486969,-74.0037936652668,False,04/03/2020 10:01:49
rpVX-o82EEOX8ZDnM28a_Q,Bistango,italian,4,269,145 E 50th St,10022,40.75628,-73.97144,False,04/03/2020 10:01:49
efYELOeAJ-CjKpzayEfblg,Cornerstone Cafe,italian,4,1114,17 Ave B,10009,40.7220618263077,-73.983249573445,False,04/03/2020 10:01:50
skLDCHQcmivdGx5Qd_qBIA,Il Passatore,italian,4,368,14 Bushwick Ave,11211,40.71431,-73.94217,False,04/03/2020 10:01:50
5EmZzIWxYCrc1KOnbA78-w,Gran Tivoli,italian,4,55,406 Broome St,10013,40.72104,-73.99783,False,04/03/2020 10:01:50
QhRQE6nOMLd00kV2k-IsbQ,Augustino's,italian,4,292,1104 Washington St,07030,40.75024,-74.02732,False,04/03/2020 10:01:50
rHYuRaSdcXjKTlOmW91nnQ,Solaro,italian,4.5,31,13 Carmine St,10014,40.730588,-74.00238,False,04/03/2020 10:01:50
CFR-HzVHKWRMpMAR3LAhzg,Montesacro Pinseria Brooklyn,italian,4.5,52,432 Union Ave,11211,40.71338,-73.95136,False,04/03/2020 10:01:50
O5S9rhY63YPGiQeUcn7PKA,Cardoncello DiVino,italian,4.5,99,43 W 27th St,10001,40.74519,-73.98985,False,04/03/2020 10:01:50
ONEe1U1fNGT80jAEE0sCrg,Vapiano,italian,3.5,1219,113 University Pl,10003,40.7343869142235,-73.9921539848726,False,04/03/2020 10:01:50
t-Pm38_XhMnGfOYgkhaNRA,Le Fanfare,italian,4,177,1103 Manhattan Ave,11222,40.736202,-73.955558,False,04/03/2020 10:01:50
oqA75iXtO_h8YnsLmjLk8w,Coco Pazzo,italian,4,105,160 Prince St,10012,40.72596,-74.00143,False,04/03/2020 10:01:50
YT5Ywu9y190B4IGIlBetzA,Morandi,italian,3.5,691,211 Waverly Pl,10014,40.73534,-74.00151,False,04/03/2020 10:01:50
Ry9w-jFALWYhazi6jjyIKw,Rucola,italian,4,492,190 Dean St,11217,40.68562,-73.98587,False,04/03/2020 10:01:51
Q9F2ocrmYuGt1yn3M7MOBw,Lucali,italian,4.5,1516,575 Henry St,11231,40.6818,-74.00024,False,04/03/2020 10:01:51
_V7YsDQ4Lb41rqfkuPzm1w,Trattoria Pesce Pasta,italian,4,232,262 Bleecker St,10014,40.73115,-74.00319,False,04/03/2020 10:01:51
dMrF98GlFYIPKYY5NVZHbw,Gemma,italian,3.5,658,335 Bowery,10003,40.72609,-73.99166,False,04/03/2020 10:01:51
1mp7uP6Kz_Zz4UClVfnjFQ,Testo,italian,4.5,190,141 Leonard St,11206,40.708324,-73.946988,False,04/03/2020 10:01:51
St8a2de1vfyCxwIySBUWbA,Graziella's,italian,4,403,232 Vanderbilt Ave,11205,40.6904563903809,-73.9696273803711,False,04/03/2020 10:01:51
TzVVPWK_4dhdSEpNqZwIhQ,Toscana 49,italian,4,236,143 East 49 St,10017,40.7556957079225,-73.9717184007168,False,04/03/2020 10:01:51
DtnlLLvcqeEUIyZTypHnzw,Il Mulino New York - Downtown,italian,4,546,86 W 3rd St,10012,40.729807,-73.999159,False,04/03/2020 10:01:51
FRp1NwIyp6tkDU986cJkXQ,Piccola Cucina Estiatorio,italian,4.5,84,75 Thompson St,10012,40.7246,-74.0029799,False,04/03/2020 10:01:51
73HeiHqXlj8bF1GXXBrn1g,Dia,italian,4.5,79,58 2nd Ave,10003,40.72572,-73.98955,False,04/03/2020 10:01:51
n-szxTmEg8UWhiadbvz_Ug,Russo Mozzarella & Pasta,italian,4.5,96,344 E 11th St,10003,40.729401179008,-73.984412681264,False,04/03/2020 10:01:52
CAGAWbPE8uPr2VVvEnv0ZA,Ribalta Pizza,italian,4,558,48 E 12th St,10003,40.7334346,-73.9916923,False,04/03/2020 10:01:52
cp5k0PKl236X0xaNDYR5Zw,Feroce Ristorante,italian,4,77,105 W 28th St,10001,40.74634,-73.99096,False,04/03/2020 10:01:52
acXWoQ2wZnpzRV-0V58YTQ,Bevacco,italian,3.5,235,60 Henry St,11201,40.6992863863707,-73.9921883493662,False,04/03/2020 10:01:52
Lu12ks-BgqfGY75Sb1004A,Il Mattone West Village,italian,4.5,45,450 Hudson St,10014,40.7312509,-74.0065302,False,04/03/2020 10:01:52
iM_iGK22awAUWveNbX9j9w,Biga Contemporary Pizza,italian,4.5,85,3 Clinton St,10002,40.72123,-73.98408,False,04/03/2020 10:01:52
G-b9kvnRh0pLi4fsdcmwjg,Joseph's Restaurant,italian,4,78,3 Hanover Square,10004,40.70499,-74.00961,False,04/03/2020 10:01:52
Ve6GVzzJpR5QIIPdcn6ViQ,Mercato,italian,4,878,352 W 39th St,10018,40.75619,-73.9937,False,04/03/2020 10:01:52
zo4JHfD2nWPUiqgsgDOaHQ,Rao's,italian,4.5,152,455 E 114th St,10029,40.79392,-73.93427,False,04/03/2020 10:01:52
yB4ziqFM_7V8JxJas7CHfA,Ulivo,italian,4,296,4 W 28th St,10001,40.7447371960713,-73.9880339428782,False,04/03/2020 10:01:52
TO9IICJjvcg1QhLVnap9fA,Cent'Anni,italian,4,421,742 Franklin Ave,11238,40.6730907423467,-73.9573492245369,False,04/03/2020 10:01:52
AV9x0hUE0yQUMjUGQNPexQ,Lamarca Cheese Shop,italian,4,412,161 E 22nd St,10010,40.73841,-73.9839499,False,04/03/2020 10:01:53
bJwcf-h06wX6Yo3kVkajww,Giando on the Water,italian,3.5,204,400 Kent Ave,11211,40.710766325009,-73.9692663444951,False,04/03/2020 10:01:53
s3jou_L_LVYGkNHiuhjlew,Boucherie West Village,italian,4.5,1412,99 7th Ave S,10014,40.733063,-74.0028772,False,04/03/2020 10:01:53
nM2AdRp2iSJHi4MgvIrEBg,Oak Tuscan Truffle Restaurant,italian,4.5,86,28 Greenwich Ave,10011,40.735042,-74.00002,False,04/03/2020 10:01:53
gSOnfmJaEFvoH55xfieHPA,Macchina,italian,3.5,135,365 3rd Ave,10016,40.74094,-73.98139,False,04/03/2020 10:01:53
jo30o65XFWmgMJS86zFiFQ,La Mela Ristorante,italian,3.5,764,167 Mulberry St,10013,40.719907,-73.997294,False,04/03/2020 10:01:53
L5MrjGhBqQkwlguY0ilxqA,The Saint Austere,italian,4.5,383,613 Grand St,11211,40.7114604,-73.9476182,False,04/03/2020 10:01:53
x6_1vzeCH9YvbvIBmSr2iA,DOC Wine Bar,italian,4,223,83 N 7th St,11249,40.71966,-73.96046,False,04/03/2020 10:01:53
ZfyfGGtr7usMlsQP1LdU2g,Ornella Trattoria Italiana,italian,4,903,29-17 23rd Ave,11105,40.7748162,-73.9132582,False,04/03/2020 10:01:53
hhqUkocxtcnILE4hKFCoPg,Tutto il Giorno,italian,4,92,114 Franklin St,10013,40.71876,-74.006056,False,04/03/2020 10:01:53
nPdElJudVWoNORVxV57Umg,Piade,italian,5,3,103 N 3rd St,11249,40.71684,-73.96197,False,04/03/2020 10:01:54
tsvElYYtUBAEdfK6plnxlg,Villa Mosconi,italian,4,198,69 Macdougal St,10012,40.72859,-74.002,False,04/03/2020 10:01:54
3X3n5JtRZHwOlHnMkQTjfw,Cappone’s Salumeria,italian,4,41,1 New York Plz,10004,40.701815,-74.01209833,False,04/03/2020 10:01:54
r2nIYBSyXny1-7XvsL2PVg,Lena's Italian Kitchen,italian,4,144,551 2nd Ave,10016,40.742664,-73.977783,False,04/03/2020 10:01:54
ddyYKrNWkdc5mudrmLaTvA,Flora,italian,4.5,66,1021 8th Ave,11215,40.66452,-73.97989,False,04/03/2020 10:01:54
aHRcUI_UqFNV87GF7WRIDQ,Aunt Jake's,italian,4,236,47 W 8th St,10011,40.73329,-73.99852,False,04/03/2020 10:01:54
jXL7zCeuhZnQVei5rfq7qw,The Braised Shop,chinese,4,89,241 E 10th St,10003,40.7289533,-73.9845,False,04/03/2020 10:01:55
pb_cHcy8D8UC-jQ-Q524ug,Som Bo,chinese,4,211,143 8th Ave,10011,40.74192,-74.00136,False,04/03/2020 10:01:55
IoAUbSudW1Mds5_XY_01Rg,Mission Chinese Food,chinese,3.5,73,599 Johnson Ave,11237,40.70933,-73.92315,False,04/03/2020 10:01:55
QBhHq4eN7rtFzmDUciVL-Q,King Wok,chinese,3.5,133,222 Varick St,10014,40.72904,-74.0050399,False,04/03/2020 10:01:55
6gE9N5wD4K-bbmSEBm7Lhw,Kong Kee,chinese,4,53,212 Grand St,10002,40.719047,-73.996139,False,04/03/2020 10:01:55
_4UvguU5z2hMsHXlYedFXw,Tao Hong Bakery,chinese,4.5,37,79 Chrystie St,10002,40.71735,-73.9945679,False,04/03/2020 10:01:55
gQ6DNeLNWQV-zwWyuFeBpg,No.1 Chinese Restaurant,chinese,3,158,10 S William St,10004,40.7046671846472,-74.0105490435282,False,04/03/2020 10:01:56
oe8GEFE4QLFAKt87y7zcgA,Very Fresh Noodles,chinese,4.5,981,425 W 15th St,10011,40.7423387008486,-74.00625,False,04/03/2020 10:01:56
DH6vM_NdIN5q-xfiHnJ3mA,Red Bowl,chinese,3.5,255,208 Bedford Ave,11211,40.7170493866292,-73.958762175149,False,04/03/2020 10:01:56
za9mYaRVWkwKkQfjRgvU0g,Taiwan Bear House,chinese,4,290,11 Pell St,10013,40.7147185237041,-73.9977966218067,False,04/03/2020 10:01:56
SyvC0s3y0ZrtnLbwnvw7tw,Tim Ho Wan,chinese,3.5,1705,85 4th Ave,10003,40.73168,-73.99007,False,04/03/2020 10:01:56
30pqvzHrCNmnodJCRyzrTg,Snacky,chinese,4,192,187 Grand St,11211,40.71439,-73.9607,False,04/03/2020 10:01:56
U2aUFZARLeSMf4RQIxjuTw,Lucky House Kitchen,chinese,4.5,91,343 Lewis Ave,11233,40.6838402152061,-73.9351565390825,False,04/03/2020 10:01:56
hdiQrGDT8enOzpxaipBzNA,Mee Noodle Shop & Grill,chinese,3,123,223 1st Ave,10003,40.730968,-73.983215,False,04/03/2020 10:01:56
c1HgKFOT4Cc7TqWQD5mQBQ,Cheong Fun Cart,chinese,4.5,76,159 Hester St.,10013,40.7176279773311,-73.9963736857056,False,04/03/2020 10:01:56
GcHaiid2EZpYBTOoquvhUg,Nice Fish & Noodle House,chinese,4,8,14-18 Elizabeth St,10013,40.71592,-73.99725,False,04/03/2020 10:01:56
Y3UBu639SToFR0xHHBg1xA,China Town Chinese Restaurant,chinese,3,12,250 E Houston St,10002,40.722095489502,-73.9849090576172,False,04/03/2020 10:01:56
gqUR7hd3NsxOD_JrD-iFfQ,Traditional Chinese Food Cart,chinese,4.5,8,35 W 4th St,10014,40.7293724,-73.995937,False,04/03/2020 10:01:57
7erFgHiQmw7ZJfVPmOjeeA,M Shanghai Bistro & Garden,chinese,3.5,425,292 Grand St,11211,40.71293,-73.95757,False,04/03/2020 10:01:57
4WyXnioHqTIcaFFN_TS1Vw,Ling Long Xuan Restaurant,chinese,4,111,586 Newark Ave,07306,40.73237,-74.0569,False,04/03/2020 10:01:57
_usWsAYSKKV2q8xw-3ajrA,Nom Wah Tea Parlor,chinese,3.5,1995,13 Doyers St,10013,40.714490521829,-73.998153857324,False,04/03/2020 10:01:57
PkA0eLD1AZ0voGAmUSG9mg,New Wong Rest,chinese,3.5,43,103 E Broadway,10002,40.7135887,-73.9931488,False,04/03/2020 10:01:57
31Pd-W_2Iw3D0PF2F2EStA,Happy Family,chinese,3,16,213 E Broadway,10002,40.7140388,-73.9875488,False,04/03/2020 10:01:57
BbODF2tZuw4xW_RFwMzwRg,Jiangnan Chinese Cuisine,chinese,3.5,52,103 Washington St,10006,40.70838,-74.01408,False,04/03/2020 10:01:57
g4EXxoV0z_TnyWF8h9xMKQ,May Kaidee East Broadway,chinese,4.5,61,215 E Broadway,10002,40.7140637,-73.987464979291,False,04/03/2020 10:01:57
dVAI5zh29psdbHp9wGXwVQ,M Star Cafe,chinese,3.5,292,19 Division St,10002,40.713928,-73.99652,False,04/03/2020 10:01:57
s5JNxy0eAFgxS2Poi73ODw,Málà Project,chinese,4,318,41 W 46th St,10036,40.75693,-73.98056,False,04/03/2020 10:01:57
qu3niqEXOUdNxCCXnSPBYg,Xi'an Famous Foods,chinese,4,94,313 6th Ave,10014,40.730996,-74.0018838,False,04/03/2020 10:01:58
XDv71A1J3aIOu_W5sVzZ2w,Shi Miao Dao Yunnan Rice Noodle 十秒到,chinese,4,100,33 Saint Marks Pl,10003,40.72904,-73.9881,False,04/03/2020 10:01:58
sgKNAn72O2XMQXS6AWmf9w,Food King,chinese,4,85,185 Newark Ave,07302,40.72117,-74.04568,False,04/03/2020 10:01:58
WRPJeH3goSpj5ke3Pkrnfw,Burp Bowl Cafe,chinese,4.5,216,134 E 27th St,10010,40.74183,-73.98271,False,04/03/2020 10:01:58
ZqBD5rwnfCfMxF_-qmhMrw,Wei Xiao Chun,chinese,3.5,2,81 Allen St,10002,40.718,-73.99128,False,04/03/2020 10:01:58
JbAdL2vOd-8O_Xa2wRktug,New Hong Wong Seafood Restaurant,chinese,3.5,28,100 Bowery,10013,40.717796,-73.995498,False,04/03/2020 10:01:58
CesS-E8Q3ztX6VnkXO6wBg,Chinese Tuxedo,chinese,3.5,275,5 Doyers St,10013,40.71433,-73.99804,False,04/03/2020 10:01:58
Va_mnsEvBghHXvc7uZIWJQ,Spice Symphony,chinese,4,593,182 Lexington Ave,10016,40.744722,-73.981202,False,04/03/2020 10:01:58
MNFx3dUarNK91enwaY1MGQ,Nuan Xin Rice Roll,chinese,3.5,17,97 Elizabeth St,10013,40.718586,-73.995919,False,04/03/2020 10:01:58
GfLL6-n6UNZ07SEHfjeIgA,Mee Sum Cafe,chinese,3.5,33,26 Pell St,10013,40.715045,-73.998291,False,04/03/2020 10:01:58
XoxEVVf5Ci8nibQ-Q4P0nQ,Chinese Musician Restaurant,chinese,3,130,151 Greenpoint Ave,11222,40.7303597,-73.9537321,False,04/03/2020 10:01:58
w0pDi_iMZd5MqYQ7t5q1dQ,Christopher's Golden Woks,chinese,3.5,55,159 Christopher St,10014,40.73284,-74.00836,False,04/03/2020 10:01:59
pNbrxyrG5d5QwRsKbu0cXg,46,chinese,4,25,46 Mott St,10013,40.7152930293439,-73.9986442157158,False,04/03/2020 10:01:59
ynIx549QFj29o84y1RSGyw,Bao Bao Cafe,chinese,4,458,61 Lexington Ave,10010,40.740829,-73.983474,False,04/03/2020 10:01:59
hjlvKeRTHA5mh1dNX4yM-w,Nb Wing Wong,chinese,4,23,42 Bowery,10013,40.715534,-73.996726,False,04/03/2020 10:01:59
v2dtG37r1ThqtfEfiFsAUg,Shanghai Mong,chinese,3,521,30 W 32nd St,10001,40.7476119995117,-73.9871597290039,False,04/03/2020 10:01:59
hUTDWZofpjLrohhJMYeawA,95 HomeDish,chinese,3.5,47,95 Chrystie St,10002,40.71776,-73.99422,False,04/03/2020 10:01:59
wxUTM-FkpCvnoTGJfSXkWg,China King,chinese,3,38,285 3rd Ave,10010,40.738249,-73.983329,False,04/03/2020 10:01:59
6QXp37VraLy8rGIbG2-Tjw,Taste of China Brooklyn,chinese,5,1,430 4th Ave,11215,40.67115,-73.98833,False,04/03/2020 10:01:59
3fQ9IExhN9KMqGHVm_9AEQ,Wing Cheong Restaurant,chinese,4,52,1389 Fulton St,11216,40.680375,-73.945514,False,04/03/2020 10:01:59
5z1CFWRQYu38S6UMIckT9Q,Grace Kitchen,chinese,3,28,484 Myrtle Ave,11205,40.6933,-73.96569,False,04/03/2020 10:01:59
DMD9T2qmLopzy0JjQYtCag,Sunrise Chinese Restaurant,chinese,2.5,11,50 Eldridge St,10002,40.7159409,-73.9927712,False,04/03/2020 10:02:00
AvTezlpt3GXTdSEnXbHP4w,Fatima's Halal Kitchen,chinese,4,386,25-25 Broadway,11106,40.7631186084319,-73.9275405041124,False,04/03/2020 10:02:00
q1ha1qnViHKmh3-tEGw8DA,Taco Dumbo,mexican,4,99,1385 Broadway,10018,40.75275,-73.98756,False,04/03/2020 10:02:01
1vkYZbdwMpqteI8x_sS68g,Fast and Fresh Burrito Deli,mexican,4,180,84 Hoyt St,11201,40.68806,-73.98694,False,04/03/2020 10:02:01
hUo4q9yZmZTyI-GECcP7ow,Taco Recipes,mexican,3.5,34,23 Essex St,10002,40.7152606869718,-73.9900060870141,False,04/03/2020 10:02:01
CBbKuUbhW662l2w1IwT_Tw,Corazon De Mexico Restaurant & Bar,mexican,4,69,10-09 50th Ave,11101,40.74281,-73.95348,False,04/03/2020 10:02:01
DFRpXRHjOHBxYHiuvwaEQQ,Rosa Mexicano,mexican,3.5,1194,61 Columbus Ave,10023,40.77118,-73.98311,False,04/03/2020 10:02:01
kn9rgR4KlvyTTi-s76OIaQ,Toloache 82nd,mexican,4,413,166 E 82nd St,10028,40.77648,-73.95669,False,04/03/2020 10:02:01
anBWvFPOce4nl3qLX-H6Rg,El Mero Mero,mexican,4.5,86,35-57 38th St,11101,40.753834323302,-73.923701159656,False,04/03/2020 10:02:01
1m6pfntylp2UL67hRPCbiw,The Lost Lady,mexican,4,82,171 Avenue C,10009,40.72631,-73.97756,False,04/03/2020 10:02:01
Uut2fBy53XdIgx1rLWdQeg,Empanada Mama L.E.S,mexican,4,709,95 Allen St,10002,40.71873,-73.9909,False,04/03/2020 10:02:01
L3ekOOsyK_HfFrf5MzQA_w,Taqueria Diana,mexican,3,53,69 Clinton St,10002,40.71936,-73.98512,False,04/03/2020 10:02:02
NXjCypQNl7tBrdR3gkFqdg,Lupita's Restaurant,mexican,4,121,2049 2nd Ave,10029,40.790205,-73.943136,False,04/03/2020 10:02:02
wO9FMvtYqsJoYrnHDASE0A,Don Pancho Villa Restaurant,mexican,4,224,189 Borinquen Pl,11211,40.7109108,-73.9528503,False,04/03/2020 10:02:02
mVaslo987DCd3YC_0FtWxA,Mole,mexican,3.5,432,57 Jane St,10014,40.73822,-74.00524,False,04/03/2020 10:02:02
O61J1PHVX9fNFGnruxEbFw,Taco Dumbo,mexican,3.5,42,56 Spring St,10012,40.72206,-73.99674,False,04/03/2020 10:02:02
cQWUPxESnMx69dshABS_rg,Taquitos Mexico,mexican,4,203,6720 14th Ave,11219,40.6230108591414,-74.0011579838332,False,04/03/2020 10:02:02
AUyKmFjpaVLwc3awfUnqgQ,Chela & Garnacha,mexican,4.5,374,33-09 36th Ave,11106,40.7557171543477,-73.927811292412,False,04/03/2020 10:02:02
mY_dEQM9poopjV0y4Hvnww,Coszcal De Allende,mexican,4,133,6824 3rd Ave,11220,40.63617,-74.0262,False,04/03/2020 10:02:02
wflQFYM4PHZM5sfWXl0aOQ,Al Horno Lean Mexican Kitchen,mexican,3,93,36 Lexington Ave,10010,40.74004,-73.98453,False,04/03/2020 10:02:02
GeL6wGdzhdEhuIFQau3ocQ,Taqueria Meza,mexican,3.5,297,95 7th Ave S,10014,40.7330017,-74.002915,False,04/03/2020 10:02:02
QH3VbBAf7MlePoaipxT4pA,Taqueria Kermes,mexican,4,388,66-36 Fresh Pond Rd,11385,40.70785,-73.89798,False,04/03/2020 10:02:03
wtQHeGI3L04xCJ5jODsRlg,Los Feliz,mexican,3,472,109 Ludlow St,10002,40.71938,-73.98882,False,04/03/2020 10:02:03
kwknIGiHza2sjdt-bwPGwQ,Blockheads,mexican,3.5,238,60 3rd Ave,10003,40.73123,-73.98905,False,04/03/2020 10:02:03
njV8tFM7PivgDhWng_Lb6g,Las Margaritas,mexican,4,219,7206 3rd Ave,11209,40.6333399,-74.02719,False,04/03/2020 10:02:03
BdHWUmVFuo1R8Lctv4K1Ow,El Parador Cafe,mexican,4,428,325 E 34th St,10016,40.7444599,-73.97472,False,04/03/2020 10:02:03
rHp_v8fU82U93hYPj3L_3A,Nacho Macho Taco,mexican,4,285,417 Prospect Pl,11238,40.6764068073189,-73.9627275318417,False,04/03/2020 10:02:03
jB5fXguSmlX65asSB3KIfQ,Charrito's Restaurant,mexican,3,619,974 Blvd E,07086,40.77707,-74.0136,False,04/03/2020 10:02:03
v4_89HfTm05NFTuukjsl_g,The Burrito Box,mexican,4,874,885 9th Ave,10019,40.76831,-73.98565,False,04/03/2020 10:02:03
xGoSAOhQBNdJMJmPn7CMDQ,Mexicue,mexican,4,544,1440 Broadway,10018,40.754109,-73.986015,False,04/03/2020 10:02:03
uvcEo61aL2F8e4PCzwZsYg,Chihuahua,mexican,4.5,149,47-02 Greenpoint Ave,11104,40.7425222545862,-73.9176765829325,False,04/03/2020 10:02:03
oSFL1AVZYouS4YrDjoLyLA,Baby Bo's Cantina,mexican,3.5,616,627 2nd Ave,10016,40.74514,-73.97598,False,04/03/2020 10:02:03
1yG5mI6j4TvXqmxcvZEBXQ,Boca Santa,mexican,4.5,12,480 Madison St,11221,40.68596,-73.93888,False,04/03/2020 10:02:04
