RestaurantID,Cuisine
a-XBTXQM4qigxUgpTmS7Fg,italian
rpVX-o82EEOX8ZDnM28a_Q,italian
efYELOeAJ-CjKpzayEfblg,italian
skLDCHQcmivdGx5Qd_qBIA,italian
5EmZzIWxYCrc1KOnbA78-w,italian
QhRQE6nOMLd00kV2k-IsbQ,italian
rHYuRaSdcXjKTlOmW91nnQ,italian
CFR-HzVHKWRMpMAR3LAhzg,italian
O5S9rhY63YPGiQeUcn7PKA,italian
ONEe1U1fNGT80jAEE0sCrg,italian
t-Pm38_XhMnGfOYgkhaNRA,italian
oqA75iXtO_h8YnsLmjLk8w,italian
YT5Ywu9y190B4IGIlBetzA,italian
Ry9w-jFALWYhazi6jjyIKw,italian
Q9F2ocrmYuGt1yn3M7MOBw,italian
_V7YsDQ4Lb41rqfkuPzm1w,italian
dMrF98GlFYIPKYY5NVZHbw,italian
1mp7uP6Kz_Zz4UClVfnjFQ,italian
St8a2de1vfyCxwIySBUWbA,italian
TzVVPWK_4dhdSEpNqZwIhQ,italian
DtnlLLvcqeEUIyZTypHnzw,italian
FRp1NwIyp6tkDU986cJkXQ,italian
73HeiHqXlj8bF1GXXBrn1g,italian
n-szxTmEg8UWhiadbvz_Ug,italian
CAGAWbPE8uPr2VVvEnv0ZA,italian
cp5k0PKl236X0xaNDYR5Zw,italian
acXWoQ2wZnpzRV-0V58YTQ,italian
Lu12ks-BgqfGY75Sb1004A,italian
iM_iGK22awAUWveNbX9j9w,italian
G-b9kvnRh0pLi4fsdcmwjg,italian
Ve6GVzzJpR5QIIPdcn6ViQ,italian
zo4JHfD2nWPUiqgsgDOaHQ,italian
yB4ziqFM_7V8JxJas7CHfA,italian
TO9IICJjvcg1QhLVnap9fA,italian
AV9x0hUE0yQUMjUGQNPexQ,italian
bJwcf-h06wX6Yo3kVkajww,italian
s3jou_L_LVYGkNHiuhjlew,italian
nM2AdRp2iSJHi4MgvIrEBg,italian
gSOnfmJaEFvoH55xfieHPA,italian
jo30o65XFWmgMJS86zFiFQ,italian
L5MrjGhBqQkwlguY0ilxqA,italian
x6_1vzeCH9YvbvIBmSr2iA,italian
ZfyfGGtr7usMlsQP1LdU2g,italian
hhqUkocxtcnILE4hKFCoPg,italian
nPdElJudVWoNORVxV57Umg,italian
tsvElYYtUBAEdfK6plnxlg,italian
3X3n5JtRZHwOlHnMkQTjfw,italian
r2nIYBSyXny1-7XvsL2PVg,italian
ddyYKrNWkdc5mudrmLaTvA,italian
aHRcUI_UqFNV87GF7WRIDQ,italian
jXL7zCeuhZnQVei5rfq7qw,chinese
pb_cHcy8D8UC-jQ-Q524ug,chinese
IoAUbSudW1Mds5_XY_01Rg,chinese
QBhHq4eN7rtFzmDUciVL-Q,chinese
6gE9N5wD4K-bbmSEBm7Lhw,chinese
_4UvguU5z2hMsHXlYedFXw,chinese
gQ6DNeLNWQV-zwWyuFeBpg,chinese
oe8GEFE4QLFAKt87y7zcgA,chinese
DH6vM_NdIN5q-xfiHnJ3mA,chinese
za9mYaRVWkwKkQfjRgvU0g,chinese
SyvC0s3y0ZrtnLbwnvw7tw,chinese
30pqvzHrCNmnodJCRyzrTg,chinese
U2aUFZARLeSMf4RQIxjuTw,chinese
hdiQrGDT8enOzpxaipBzNA,chinese
c1HgKFOT4Cc7TqWQD5mQBQ,chinese
GcHaiid2EZpYBTOoquvhUg,chinese
Y3UBu639SToFR0xHHBg1xA,chinese
gqUR7hd3NsxOD_JrD-iFfQ,chinese
7erFgHiQmw7ZJfVPmOjeeA,chinese
4WyXnioHqTIcaFFN_TS1Vw,chinese
_usWsAYSKKV2q8xw-3ajrA,chinese
PkA0eLD1AZ0voGAmUSG9mg,chinese
31Pd-W_2Iw3D0PF2F2EStA,chinese
BbODF2tZuw4xW_RFwMzwRg,chinese
g4EXxoV0z_TnyWF8h9xMKQ,chinese
dVAI5zh29psdbHp9wGXwVQ,chinese
s5JNxy0eAFgxS2Poi73ODw,chinese
qu3niqEXOUdNxCCXnSPBYg,chinese
XDv71A1J3aIOu_W5sVzZ2w,chinese
sgKNAn72O2XMQXS6AWmf9w,chinese
WRPJeH3goSpj5ke3Pkrnfw,chinese
ZqBD5rwnfCfMxF_-qmhMrw,chinese
JbAdL2vOd-8O_Xa2wRktug,chinese
CesS-E8Q3ztX6VnkXO6wBg,chinese
Va_mnsEvBghHXvc7uZIWJQ,chinese
MNFx3dUarNK91enwaY1MGQ,chinese
GfLL6-n6UNZ07SEHfjeIgA,chinese
XoxEVVf5Ci8nibQ-Q4P0nQ,chinese
w0pDi_iMZd5MqYQ7t5q1dQ,chinese
pNbrxyrG5d5QwRsKbu0cXg,chinese
ynIx549QFj29o84y1RSGyw,chinese
hjlvKeRTHA5mh1dNX4yM-w,chinese
v2dtG37r1ThqtfEfiFsAUg,chinese
hUTDWZofpjLrohhJMYeawA,chinese
wxUTM-FkpCvnoTGJfSXkWg,chinese
6QXp37VraLy8rGIbG2-Tjw,chinese
3fQ9IExhN9KMqGHVm_9AEQ,chinese
5z1CFWRQYu38S6UMIckT9Q,chinese
DMD9T2qmLopzy0JjQYtCag,chinese
AvTezlpt3GXTdSEnXbHP4w,chinese
q1ha1qnViHKmh3-tEGw8DA,mexican
1vkYZbdwMpqteI8x_sS68g,mexican
hUo4q9yZmZTyI-GECcP7ow,mexican
CBbKuUbhW662l2w1IwT_Tw,mexican
DFRpXRHjOHBxYHiuvwaEQQ,mexican
kn9rgR4KlvyTTi-s76OIaQ,mexican
anBWvFPOce4nl3qLX-H6Rg,mexican
1m6pfntylp2UL67hRPCbiw,mexican
Uut2fBy53XdIgx1rLWdQeg,mexican
L3ekOOsyK_HfFrf5MzQA_w,mexican
NXjCypQNl7tBrdR3gkFqdg,mexican
wO9FMvtYqsJoYrnHDASE0A,mexican
mVaslo987DCd3YC_0FtWxA,mexican
O61J1PHVX9fNFGnruxEbFw,mexican
cQWUPxESnMx69dshABS_rg,mexican
AUyKmFjpaVLwc3awfUnqgQ,mexican
mY_dEQM9poopjV0y4Hvnww,mexican
wflQFYM4PHZM5sfWXl0aOQ,mexican
GeL6wGdzhdEhuIFQau3ocQ,mexican
QH3VbBAf7MlePoaipxT4pA,mexican
wtQHeGI3L04xCJ5jODsRlg,mexican
kwknIGiHza2sjdt-bwPGwQ,mexican
njV8tFM7PivgDhWng_Lb6g,mexican
BdHWUmVFuo1R8Lctv4K1Ow,mexican
rHp_v8fU82U93hYPj3L_3A,mexican
